movietitle,year
The Brave One,2007
Step Up 2 the Streets,2008
Old Dogs,2010
Gantz: Perfect Answer,2011
Unstoppable,2010
The Expatriate,2012
The Chronicles of Riddick,2004
The Boys and Girl from County Clare,2004
Ghost Son,2007
Kuruvi,2008
Stealing Harvard,2003
Mirrors,2008
The Spy Next Door,2010
The Men Who Stare at Goats,2010
Khatta Meetha,2010
Jane Eyre (2011),2012
Eye See You (D-Tox),2002
The Boy in the Striped Pajamas,2009
The Thing (2011),2011
How to Kill Your Neighbor's Dog,2003
Angels & Demons,2009
The Incredible Hulk,2008
Flowers,2010
Elegy,2008
"Joheunnom nabbeunnom isanghannom (The Good, the Bad, and the Weird)",2009
Beaufort,2008
Tropa de Elite (Elite Squad),2008
Aurora (2011),2011
Bulletproof Monk,2004
Hai jiao qi hao (Cape No. 7),2008
Factotum,2006
Asal,2010
Marley,2012
Tyler Perry's Good Deeds,2012
Bandslam,2009
The Cove,2010
The Holy Girl (La Niña santa),2004
Delhi Belly,2011
"Si jie (Lust, Caution)",2008
La Soledad era esto,2002
Ben X,2008
Bedtime Stories,2009
Astérix aux jeux olympiques,2008
In Good Company,2005
Zus & Zo,2003
Grindhouse: Death Proof,2007
Bellflower,2012
Wasabi,2002
Flammen og Citronen (Flame & Citron),2008
Friends with Benefits,2011
Anata wo wasurenai (26 Years Diary),2008
Right at Your Door,2007
Americano,2012
The Musketeer,2002
Les émotifs anonymes,2010
Beauty and the Beast (3D),2010
Kung Fu Panda 2,2011
Thank You (2011),2011
El Cantante,2007
Black Swan,2011
Freelancers,2012
Godsend,2004
Elizabeth: The Golden Age,2007
Standard Operating Procedure,2008
Action Replayy,2010
Eastern Plays,2010
Arthur et la guerre des deux mondes,2010
"Il était une fois, une fois",2012
Blutzbrüdaz,2011
Hall Pass,2011
Dream House,2011
L'homme qui rit (The Man Who Laughs),2012
Monsieur Lazhar,2012
50 First Dates,2004
"Precious: Based on the Novel ""Push"" by Sapphire",2010
Hachimitsu to Clover (Honey & Clover),2006
Ramona and Beezus,2010
Senritsu meikyû 3D (Shock Labyrinth 3D),2010
Michael Clayton,2008
Dance Flick,2009
The Three Investigators and the Secret of Terror Castle,2009
Monsters Vs. Aliens,2009
Angel Eyes,2001
Gothika,2004
Takers,2010
Exorcist: The Beginning,2004
Rocky Balboa,2007
Master and Commander: The Far Side of the World,2003
In the Land of Blood and Honey,2012
Kaze no tani no Naushika (Nausicaä of the Valley of the Winds),2010
Underdog,2007
O'Horten,2009
My First Mister,2001
Deja Vu,2006
Barney's Version,2011
Pathology,2008
Kaze no tani no Naushika (Nausicaä of the Valley of the Winds),2009
Valentine's Day,2010
Fame (2009),2009
"Zidane, un portrait du 21e siècle",2006
Grindhouse: Death Proof,2007
The Corporation,2004
We Bought a Zoo,2012
Death of a President,2007
Alamar (To The Sea),2011
Catch Me If You Can,2003
The Good Girl,2003
Life as a House,2002
Hanna,2011
National Treasure,2004
The Box,2009
Away from Her,2007
Les Tuche,2011
Life of Pi,2012
Little Children,2007
"Precious: Based on the Novel ""Push"" by Sapphire",2010
Ratatouille,2007
Runaway Jury,2003
A Town Called Panic,2009
Wuthering Heights (2011),2012
Jonas (2012),2012
Late Marriage,2002
Mother and Child,2011
Abandon,2003
Pas sur la bouche,2003
Jennifer's Body,2009
Seytanin pabucu,2008
Amazing Grace,2008
XXY,2008
Sex and the City,2008
Swing Vote,2010
L'Enquête corse (The Corsican File),2005
Repo Men,2010
Rogue,2008
Gone,2012
The Princess Diaries 2: Royal Engagement,2004
Russkiy kovcheg (Russian Ark),2003
Little Children,2007
The Princess and the Frog,2010
La Stella che non c'è,2008
A Man Apart,2003
Spy Kids 3D: Game Over,2003
Bienvenue chez les Ch'tis,2009
Step Up 2 the Streets,2008
Transporter 3,2008
Satin Rouge,2009
"Paris, je t'aime",2007
Pieds nus sur les limaces (Lily Sometimes),2010
Edmond,2007
God Bless America,2012
Yes Man,2009
Love in Space,2011
The Woman in Black,2012
The SpongeBob SquarePants Movie,2005
The Fighting Temptations,2004
Charlie Wilson's War,2008
Blitz,2011
Brooklyn's Finest,2010
Y Tu Mama Tambien,2002
A Dangerous Method,2012
Wallace and Gromit: The Curse of the Were-Rabbit,2005
The Weather Man,2005
National Treasure,2004
Cosmopolis,2012
Indiana Jones and the Kingdom of the Crystal Skull,2008
Tekken,2010
Michael Jackson's This Is It,2009
The Queen,2007
Drive Angry,2011
StreetDance 3D,2010
Happily N'Ever After,2008
Blank City,2011
The Killing of John Lennon,2008
Without a Paddle,2004
Life in a Day,2011
Scott Pilgrim vs. the World,2010
St. Trinian's,2008
Om Shanti Om,2007
Mamma Mia!,2008
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Saw,2005
Little Fockers,2011
The Notebook,2004
Devil,2010
Seraphim Falls,2008
License to Wed,2007
Night at the Museum,2007
Mission: Impossible - Ghost Protocol,2011
Rango,2011
Valentine's Day,2010
Zatoichi: The Blind Swordsman,2004
Senna,2011
Pravosudiye volkov (The Justice of Wolves),2010
Max Payne,2008
Zombieland,2010
My Week with Marilyn,2012
Contraband,2012
Angels & Demons,2009
The Lake House,2006
Perfect Creature,2007
Ratatouille,2007
Die Vermessung der Welt (Measuring the World),2012
Persepolis,2007
Sanctum (3D),2011
Yahsi Bati,2009
Dos hermanos,2010
Santa vs. the Snowman (IMAX),2002
Khelein Hum Jee Jaan Sey,2010
Herbie: Fully Loaded,2005
Legend of the Guardians: The Owls of Ga'Hoole,2010
Women Are Heroes,2011
Conversations with God,2009
Poseidon,2006
Young@Heart,2008
The Closet (Le Placard),2001
Limitless,2011
Hors de prix (Priceless),2007
Red Lights (2012),2012
Shark Tale,2004
Gao hai ba zhi lian II (Romancing in Thin Air),2012
La Fille coupée en deux (A Girl Cut in Two),2008
Atithi Tum Kab Jaoge,2010
The Last Mimzy,2007
Total Recall (2012),2012
Milk,2009
Defiance,2009
Blow,2001
Mean Machine,2002
Michael Jackson's This Is It,2009
Zombieland,2009
Joyeux Noël (Merry Christmas),2005
Fright Night (2011),2011
The 40-Year-Old Virgin,2005
You Got Served,2004
We Own the Night,2008
Xing kong (Starry Starry Night),2011
High Crimes,2002
24 Hour Party People,2002
Capote,2005
Donnie Darko,2002
Direktøren for det hele (Boss of It All),2009
Sideways,2005
Meng you 3D (Sleepwalker),2011
El Otro,2009
You Again,2010
Friends with Money,2006
100 Feet,2009
Lemony Snicket's A Series of Unfortunate Events,2004
Labios Rojos,2011
Madagascar,2005
Tout pour plaire,2005
Proie (Prey),2011
Along Came Polly,2004
Desi Boyz,2011
Gin gwai (The Eye),2005
Meet the Fockers,2005
Exit Wounds,2001
Lost in La Mancha,2003
Harry Potter and the Goblet of Fire,2005
Bee Movie,2007
Snabba Cash (Easy Money),2011
Rango,2011
The Heartbreak Kid,2007
The Woman in Black,2012
Entre les murs (The Class),2008
Sukiyaki Western Django,2008
Changeling,2009
"No sos vos, soy yo",2004
I Spit on Your Grave,2011
The Curious Case of Benjamin Button,2009
Bobby,2007
Rab Ne Bana Di Jodi,2008
Flickan som lekte med elden,2009
The Killer Inside Me,2012
Red Lights (2012),2012
Man About Town,2008
Yuet gwong bo hup,2010
The Longest Yard,2005
Maria Full of Grace,2004
School of Rock,2004
Jodaeiye Nader az Simin (A Seperation),2011
The Young Victoria,2009
Infamous,2007
Harry Potter and the Prisoner of Azkaban,2004
Alexandra's Project,2003
Hairspray (2007),2007
ATM,2012
A Lot Like Love,2005
The Three Musketeers (2011),2011
Wedding Daze,2008
Cama adentro,2005
Duska,2007
The Private Lives of Pippa Lee,2009
Lo contrario al amor,2012
The Love Guru,2008
Firewall,2006
Antichrist,2011
Transsiberian,2008
Enemy at the Gates,2001
Bad Education (La Mala educación),2004
Laurence Anyways,2012
Beverly Hills Chihuahua,2008
Voces inocentes (Innocent Voices),2007
1408,2007
San Antonio,2004
L' Italien,2011
Leun yan sui yu (Lover's Discourse),2011
Elizabeth: The Golden Age,2008
Grindhouse: Planet Terror,2007
Femme Fatale,2003
Mission: Impossible - Ghost Protocol,2011
Coffee and Cigarettes,2004
Land of the Lost,2009
Hotel,2006
Henry Poole Is Here,2009
Prince of Persia: The Sands of Time,2010
Five Minarets in New York,2010
The Darjeeling Limited,2008
Alvin and the Chipmunks,2007
Fast and Furious,2009
I Am Number Four,2011
Step Up 3-D,2010
Asa Nu Maan Watan,2004
Gecenin Kanatlari,2010
Inglourious Basterds,2009
Bride Wars,2009
The Lucky One,2012
In memoria di me,2008
Last Chance Harvey,2009
The Last Exorcism,2010
The Muppets,2012
Chloe,2010
30 Days of Night,2008
P.S. I Love You,2008
Runaway Jury,2004
"Police, Adjective",2010
Batoru rowaiaru (Battle Royale),2002
Angels & Demons,2009
The Avengers (2012),2012
"Love, Wedding, Marriage",2011
Une pure affaire (Borderline),2011
Just Go With It,2011
Toy Story 2 in 3D,2010
The Boys Are Back,2010
Harry Potter and the Half Blood Prince,2009
Arthur et la vengeance de Maltazard,2010
Becoming Jane,2007
Premium Rush,2012
A Pain in the Ass,2009
A Dangerous Method,2012
Don't Be Afraid of the Dark,2011
Leap Year,2010
Je 7 Swanggu (Continental Shelf Block 7),2011
Walk the Line,2005
Duplicity,2009
Kitchen,2009
Bad Teacher,2011
Faubourg 36 (Paris 36),2010
School for Scoundrels,2006
TMNT,2007
The Bank Job,2008
Onna ga kaidan wo agaru toki (When a Women Ascends the Stairs) (1960) (Re),2007
The King's Speech,2011
L'Instinct de mort,2009
Kambakkt Ishq,2009
Epic Movie,2007
Ayan,2009
Anything Else,2004
No Strings Attached,2011
The Fog of War,2004
Tabarly,2008
Sun yat fai lok (Happy Birthday),2007
Imagine That,2009
Dirty Pretty Things,2003
Le Premier cercle,2010
Treasure Hunt,2011
Avatar,2009
Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue),2008
Secuestrados (Kidnapped),2011
The Words,2012
Monster-in-Law,2005
Contagion,2011
Reuniting the Rubins,2011
Jing mo fung wan: Chen Zhen (Legend of the Fist: The Return of Chen Zhen),2010
One Hour Photo,2002
Orange County,2002
Comme une image (Look at Me),2004
Love in the Time of Cholera,2008
Annie Leibovitz: Life Through a Lens,2008
Life as a House,2002
American Gangster,2007
Veer (2010),2010
Frozen,2010
The Devil Inside,2012
Made of Honor,2008
Fei Cheng Wu Rao 2 (If You Are the One 2),2011
Spanish Movie,2009
My Super Ex-Girlfriend,2006
Priest,2011
Stay Alive,2006
A Very British Gangster,2007
The Last Kiss,2006
The Princess and the Frog,2010
Australia,2009
3 (Three),2011
Rain,2002
Secondhand Lions,2004
Ned Kelly,2003
Austin Powers in Goldmember,2002
Hunter's Bride,2010
Beastly,2011
You Don't Mess with the Zohan,2008
Churchill: The Hollywood Years,2007
"Serge Gainsbourg, vie héroïque",2010
The Importance of Being Earnest,2003
Anthony Kaun Hai,2006
"Be Kind, Rewind",2008
White Material,2010
Griffin & Phoenix,2008
The Boy in the Striped Pajamas,2009
A Film with Me in It,2009
My Mom's New Boyfriend (a.k.a. Homeland Security),2008
Musallat,2008
Tormented,2009
The Hurt Locker,2010
The Forbidden Kingdom,2008
La Stella che non c'è,2007
The Water Horse: Legend of the Deep,2008
Pirates of the Caribbean: At World's End,2007
Reservation Road,2008
Hidalgo,2004
Un heureux événement (A Happy Event),2012
The Motorcycle Diaries,2004
Kangaroo Jack,2003
Capitalism: A Love Story,2009
Cirque du Freak: The Vampire's Assistant,2010
Troy,2004
Attack the Block,2011
The Chronicles of Riddick,2004
State of Play,2009
Ghosts of Cite Soleil,2007
Code Name: The Cleaner,2007
Elena,2012
Flyboys,2007
The Hoax,2007
The Core,2003
Fei Cheng Wu Rao 2 (If You Are the One 2),2010
And Now Ladies and Gentlemen,2003
Babel,2006
Nowhere in Africa (Nirgendwo in Afrika),2003
Freddy vs. Jason,2003
"Si jie (Lust, Caution)",2008
La tropa de trapo en el país donde siempre brilla el sol,2012
La Sconosciuta (The Unknown Woman),2009
On the Road,2012
The Blind Side,2010
Leap Year,2010
How to Train Your Dragon,2010
An Inconvenient Truth,2006
Fifty Dead Men Walking,2009
Max Payne,2008
Nordwand,2010
Underworld,2003
"I Love You, Phillip Morris",2010
MIB 3,2012
DeUsynlige,2010
The Next Three Days,2011
Idlewild,2006
The Pink Panther 2,2009
I Am Love,2010
Chandni Chowk to China,2009
Pirates of the Caribbean: At World's End,2007
The Order,2003
Zomerhitte,2008
Inglourious Basterds,2009
Carancho,2011
Fright Night (2011),2011
Dnevnoy dozor (Day Watch),2007
Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom),2008
The Lucky One,2012
Reprise (2006),2006
Last Night,2011
W.E.,2012
Plots with a View,2003
Before Sunset,2004
Melancholia,2011
Desert Flower,2011
Vals Im Bashir (Waltz with Bashir),2009
The Princess of Nebraska,2008
Mr. Nobody,2010
Dou fo sin (Flash Point),2007
Hall Pass,2011
Date Movie,2006
In the Valley of Elah,2007
Detective Conan: The Eleventh Striker,2012
Laitakaupungin valot (Lights in the Dusk),2008
Persepolis,2007
Three Monkeys,2009
Rocky Balboa,2007
Bounce,2001
Confidence,2003
The River Used to Be a Man,2012
Miss Congeniality 2: Armed and Fabulous,2005
Spider-Man,2002
Good Luck Chuck,2008
Postal,2008
2012,2009
Lilla spöket Laban 4,2009
The Blind Side,2010
Devil,2011
Domino,2005
An Education,2009
Partner,2007
Hezké chvilky bez záruky,2007
Cirque du Freak: The Vampire's Assistant,2010
Tooth Fairy,2010
Svetat e golyam i spasenie debne otvsyakade (The World Is Big and Salvation Lurks around the Corner),2009
Unthinkable,2010
Los ojos de Julia (Julia's Eyes),2011
Team America: World Police,2005
Cuestión de principios,2011
Séraphine,2009
Elle s'appelait Sarah,2011
Brand Upon the Brain!,2007
True Grit,2011
Akunin (Villain),2011
Election 2 (Hak se wui yi wo wai kwai) (Triad Election),2006
The Pacifier,2005
Sahara,2005
Dr. Seuss' The Lorax,2012
Whisky mit Wodka (Whiskey with Vodka),2012
I Am Sam,2002
The Home Song Stories,2008
A Crime,2006
Super Size Me,2004
Mr. Idol,2012
Public Enemies,2009
Young Adam,2003
La Virgen de la Lujuria,2002
RRRrrrr!!!,2004
The Secret Life of Words,2006
V/H/S,2012
Saw,2004
L'amour dure trois ans,2012
Alvin and the Chipmunks: Chipwrecked,2011
Step Up,2006
Cowboys & Aliens,2011
Hukkle,2003
Die Rote Zora,2008
The Twilight Saga: Eclipse,2010
Salt,2010
Freedom Writers,2007
Swimming Pool,2004
The Campaign,2012
Freddy vs. Jason,2003
"Be Kind, Rewind",2008
Dr. Seuss' The Lorax,2012
Journey to the Center of the Earth,2008
Hwanghae (The Yellow Sea),2012
The Stone Angel,2008
Frida,2003
We Are Family (2012),2012
The Constant Gardener,2005
Public Enemies,2009
The Good Girl,2003
John Rabe,2010
Gruz 200 (Cargo 200),2008
Lucky Number Slevin,2006
Alfie,2005
Pirates of the Caribbean: On Stranger Tides (3D),2011
Bayside Shakedown 3: Set the Guys Loose,2010
Courageous,2011
Drag Me to Hell,2009
Grown Ups,2010
Zodiac,2007
The Core,2003
Cradle 2 the Grave,2003
"Be Kind, Rewind",2008
Nathalie...,2004
"Be Kind, Rewind",2009
Maria Full of Grace,2005
Maradona By Kusturica,2009
Cum mi-am petrecut sfarsitul lumii (The Way I Spent the End of the World),2007
Sztuczki,2009
Ladda Land,2011
Kal Kissne Dekha,2009
Lonely Hearts,2007
Mr. Bean's Holiday,2008
Haute tension (High Tension),2005
Tinker Bell - The Secret Of The Wings,2012
StreetDance 3D,2010
The Ides of March,2011
Raaz 3,2012
Fame (2009),2009
Devil,2010
The House Bunny,2008
Garfield: A Tail of Two Kitties,2006
Aarakshan (Reservation),2011
Girl in Progress,2012
Extremely Loud & Incredibly Close,2012
Get Him to the Greek,2010
Charlie Wilson's War,2008
Julia,2008
O chyom govoryat muzhchiny (What Men Talk About),2010
Noruwei no mori (Norwegian Wood),2010
The Eye,2008
The Unborn (2009),2009
The Rum Diary,2012
Fahrenheit 9/11,2004
Kutsal Damacana 3 Dracoola,2011
Snow Flower and the Secret Fan,2011
Soul Surfer,2011
The Hitchhiker's Guide to the Galaxy,2005
Basic,2003
Emergo (Apartment 143),2012
Khon Thai Ting Phandin (Edge of the Empire),2010
The Science of Sleep,2006
Lord of War,2005
Take This Waltz,2012
Alex Cross,2012
Candy,2006
American Dreamz,2006
Ulzhan,2008
88 Minutes,2008
Tôkyô oashisu (Tokyo Oasis),2011
Derecho de familia (Family Law),2006
Gamer (2009),2009
Tempesta,2007
State of Play,2009
Snowtown,2011
Little Ashes,2009
The Fellowship of the Ring - Extended Edition (Re-issue),2003
La Traviata (Met Opera),2012
The Matrix Reloaded,2003
The Heart of Me,2003
Monster's Ball,2002
Pettson och Findus 3: Tomtemaskinen,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
The Princess and the Frog,2009
Hit and Run,2012
Tamara Drewe,2011
Cheung wong chi wong (Triple Tap),2010
The Incredibles,2004
What to Expect When You're Expecting,2012
Cellular,2005
Cliente,2009
Happy-Go-Lucky,2008
"I, Robot",2004
Babycall,2012
Hardball,2001
Bulletproof Monk,2003
The Little Traitor,2009
The X-Files: I Want to Believe,2008
Religulous,2008
The Iron Lady,2012
Closing the Ring,2008
Entre les murs (The Class),2009
The Borrowers (Kari-gurashi no Arietti),2011
Primeval,2007
The Tracey Fragments,2008
Three Monkeys,2008
A Dangerous Method,2012
Penelope,2008
Bloody Sunday,2003
Agora (Mists of Time),2010
Bee Season,2006
Na pude aneb Kdo má dneska narozeniny?,2010
Mirrors,2008
My Week with Marilyn,2012
Dhoondte Reh Jaoge,2009
Keane,2006
Grizzly Man,2006
Eldorado,2008
People I Know,2003
The Goods: The Don Ready Story,2010
Leatherheads,2008
Lords of Dogtown,2005
Bugs! (IMAX),2003
There Will Be Blood,2008
The Next Three Days,2010
Gosford Park,2002
Sleuth (2007),2007
Think Like a Man,2012
Trouble with the Curve,2012
The Longest Yard,2005
The Heartbreak Kid,2007
The Be All and End All,2010
Tasogare Seibei (Twilight Samurai),2002
The Last King of Scotland,2007
Man on Wire,2009
The Bourne Legacy,2012
Gosford Park,2002
The Karate Kid,2010
Please Give,2010
Penelope,2010
Casino Royale,2006
Mr. Popper's Penguins,2011
The Lion King (in 3D),2011
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)",2008
Harry Potter and the Deathly Hallows (Part One),2010
Sleepwalking,2008
Leap Year,2010
Are We There Yet?,2005
The Iron Lady,2012
Tron Legacy,2010
Shôrin shôjo (Shaolin Girl),2008
Religulous,2009
La Maison de Nina,2006
Becoming Jane,2007
The Devil Wears Prada,2006
Sukkar banat (Caramel),2007
The Wicker Man,2006
The Pursuit of Happyness,2007
La Question humaine (Heartbeat Detector),2008
Vampires Suck,2010
Surviving Christmas,2004
Jack Reacher,2012
The Mist,2008
The Way of the Gun,2002
A Timeless Love,2012
Percy Jackson & The Olympians: The Lightning Thief,2010
Ein Fliehendes Pferd,2007
Magique!,2009
De rouille et d'os (Rust and Bone),2012
Princess (2006),2008
Chrysalis,2008
The Final Destination,2009
The League of Extraordinary Gentlemen,2003
Savages (2012),2012
2012,2009
Mulholland Drive,2002
Tyrannosaur,2011
Enchanted,2007
Valkyrie,2009
Mean Girls,2004
Masked and Anonymous,2003
Shooter,2007
Arthur Christmas,2011
Transylvania,2007
Biker Boyz,2003
Nomad (The Warrior),2007
Sky Captain and the World of Tomorrow,2004
Laurence Anyways,2012
The Lovely Bones,2010
Surveillance,2008
Piranha 3DD,2012
Doubt,2009
Confetti,2006
Pathfinder: Legend of the Ghost Warrior,2007
Before the Devil Knows You're Dead,2008
Kisses,2008
Curious George 2: Follow That Monkey!,2009
Cassandra's Dream,2008
De Tweeling (Twin Sisters),2004
A Serious Man,2010
The Game Plan,2008
Das Leben der Anderen (The Lives of Others),2007
The Tourist,2011
Dream House,2011
Certified Copy,2011
Vier Minuten (Four Minutes),2007
Slaughter,2009
Ocean's Thirteen,2007
Ong Bak 3,2010
Fahrenheit 9/11,2004
The Adventures of Sharkboy and Lavagirl in 3D,2005
Die Vampirschwestern,2012
Le gamin au vélo,2011
The Other Boleyn Girl,2008
Ocean's Eleven,2002
Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler,2007
Safe (2012),2012
Star Trek,2009
A Good Old Fashioned Orgy,2012
Paul,2011
Anonymous,2011
Emotional Arithmetic,2008
The Omen (2006),2006
Okuribito (Departures),2009
Maid in Manhattan,2003
Ping guo (Lost in Beijing),2007
City of Ember,2008
Wall Street: Money Never Sleeps,2010
American Dreamz,2006
The Mist,2008
Indiana Jones and the Kingdom of the Crystal Skull,2008
Total Recall (2012),2012
Spider-Man 2,2004
Il Conformista (The Conformist) (1970) (Re),2008
Michael Clayton,2008
The Village,2004
Gang chanee kap ee-aep (Metrosexual),2006
Beginning of the Great Revival,2011
United 93,2006
Habemus Papam (We Have a Pope),2012
Das Leben der Anderen (The Lives of Others),2007
River Queen,2007
Battle in Seattle,2009
Epic Movie,2007
Hotel for Dogs,2009
Immortals,2012
Bachelorette,2012
Madagascar,2005
Jack and Jill,2012
Breaking and Entering,2007
Black Christmas (2006),2006
Cinderella Man,2005
Daybreakers,2010
Because I Said So,2007
Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon),2008
Vidocq,2002
Baiyin diguo (Empire of Silver),2010
19,2009
Insidious,2011
The Shaggy Dog,2006
Sonny,2003
Gambit,2012
Ladies and Gentlemen: The Rolling Stones,2010
Driving Lessons,2007
A Good Year,2006
North Face,2010
The Weather Man,2006
Rampart,2012
Kal Ho Naa Ho,2003
Blow,2001
Life of Pi,2012
Everything Is Illuminated,2005
In the Loop,2009
Friends with Kids,2012
Gin gwai (The Eye),2003
Rocky Balboa,2007
Oldboy,2004
Billabong Odyssey,2004
The Hunger Games,2012
The Next Three Days,2010
Public Enemy Number One,2011
The Perfect Score,2004
Breaking and Entering,2007
Comme un homme,2012
"Ensemble, c'est tout (Hunting and Gathering)",2008
You Will Meet a Tall Dark Stranger,2010
Die Hohle des gelben Hundes (Cave of the Yellow Dog),2008
The Brave One,2007
Collateral Damage,2002
A Dangerous Method,2012
The Deep End,2002
Elizabeth: The Golden Age,2008
Chicken Little,2005
Forsazh da Vinchi (Treasure Raiders),2008
Les Témoins (The Witnesses),2007
Harry Potter and the Deathly Hallows (Part Two),2011
Alvin and the Chipmunks,2008
Shanghai Knights,2003
Nue propriété (Private Property),2007
Just Friends,2009
The Devil Inside,2012
Toy Story in 3D,2010
Shi yue wei cheng (Bodyguards and Assassins),2010
Tangshan dadizhen (Aftershock),2010
Puzzled Love,2012
Bunhongsin (The Red Shoes),2005
Khon Thai Ting Phandin (Edge of the Empire),2010
2046,2005
Leaving (Partir),2011
The Break-Up,2007
Lang zai ji (The Warrior and the Wolf),2010
Ladder 49,2004
Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler,2007
A Serious Man,2010
Step Up 3-D,2010
StreetDance 3D,2010
True Grit,2011
Sweet November,2001
The Guru,2002
Indiana Jones and the Kingdom of the Crystal Skull,2008
3 Idiots,2010
Youth in Revolt,2010
The Brothers Bloom,2009
Escape to Paradise,2002
Un fil à la patte,2006
Ninja Assassin,2010
Bridesmaids,2011
La Masseria delle allodole,2008
Felix 2 - Der Hase und die Verflixte Zeitmaschine,2007
The Aviator,2005
Le Skylab,2012
2012,2009
Buffalo Soldiers,2003
(Les) beau(x) gosse(s),2010
Aurora (2011),2012
Hunger (2008),2008
Hamlet (Met Opera),2010
On the Line,2002
20-seiki shônen (Twentieth Century Boys: Chapter One),2008
I Could Never Be Your Woman,2008
0.45,2009
Lost in Translation,2004
Paranormal Activity,2009
Around the World in 80 Days,2005
"Kiss Kiss, Bang Bang",2005
Blue Valentine,2011
Desu nôto: The last name (Death Note: The Last Name),2007
Silver City,2005
Jerichow,2009
Offside,2007
Jumper,2008
Dnevnoy dozor (Day Watch),2007
Runaway Jury,2004
11:14,2005
Don't Be Afraid of the Dark,2011
Two for the Money,2006
Shall We Dance,2004
The Men Who Stare at Goats,2010
Star Wars: Episode II - Attack of the Clones,2002
Final Destination 5,2011
Smart People,2009
Night at the Museum: Battle of the Smithsonian,2009
21,2008
Somos lo que hay (We Are What We Are),2011
Femme Fatale,2003
Sunshine Cleaning,2009
Wasabi,2003
Mongol,2007
Letters to Juliet,2010
Virgin Territory,2008
Jumper,2008
Ddongpari (Breathless),2009
Bon Voyage,2004
Bigga Than Ben,2008
Harry Potter and the Order of the Phoenix,2007
The Tales of Hoffman (Met Opera Series),2010
Le Couperet,2006
A Mighty Heart,2007
La vida de los peces,2012
The Way Back,2011
Cyrus,2010
No Strings Attached,2011
The Passion of the Christ,2004
The Reaping,2007
Hidalgo,2004
Cave of Forgotten Dreams,2011
The Savages,2008
Avril,2006
Wasabi,2003
Miss Congeniality 2: Armed and Fabulous,2005
Indiana Jones and the Kingdom of the Crystal Skull,2008
Mean Creek,2005
La Rafle. (The Round-Up),2010
La Bohème,2009
Dog Pound,2010
Cats & Dogs: Revenge of Kitty Galore,2010
Gomorra,2008
Corpo,2008
Lucky Luke,2011
Inception,2010
Big Fish,2004
Darkness Falls,2003
Musallat,2007
How to Train Your Dragon,2010
Doubt,2009
Paintball,2009
Mr. Bean's Holiday,2007
Don't Be Afraid of the Dark,2011
Faubourg 36 (Paris 36),2009
Total Recall (2012),2012
The Smurfs,2011
Up,2009
No Reservations,2007
Alfie,2005
The Last Exorcism,2010
Turistas,2007
Walking Tall,2004
Somewhere,2011
La Question humaine (Heartbeat Detector),2008
Surf's Up,2007
One Day,2011
Nan Ren Ru Yi Fu (Love Is... Pyjamas),2012
Sveitabrúðkaup (Country Wedding),2009
Whipped,2002
Underworld: Evolution,2006
Action Replayy,2010
Step Up 3-D,2010
National Theatre live: She Stoops to Conquer,2012
Avatar,2009
Golmaal Returns,2008
"Marti, dupa craciun (Tuesday, After Christmas)",2011
Starbuck,2012
The Spy Next Door,2010
Saw 3D,2010
Toy Story in 3D,2010
See No Evil,2006
My Bloody Valentine 3-D,2009
40 Days and 40 Nights,2002
The Rocker,2008
Black Snake Moan,2007
We Bought a Zoo,2012
The Dictator,2012
Kung Fu Panda 2,2011
Home (2008),2009
My Name is Khan,2010
Elektra,2005
The Princess Diaries,2002
Le Séminaire Caméra Café,2009
Meet the Fockers,2005
One Day,2011
Miss Congeniality 2: Armed and Fabulous,2005
Meet Dave,2008
Red,2010
Twisted,2004
El Chico que Miente (The Kid Who Lies),2011
Imagining Argentina,2004
College Road Trip,2008
Bienvenue parmi nous,2012
Io non ho paura (I'm Not Scared),2004
Gulliver's Travels,2011
Love and Other Drugs,2011
Hotel for Dogs,2009
Indiana Jones and the Kingdom of the Crystal Skull,2008
Underdog,2008
Men in Black II,2002
Import/Export,2007
Marmaduke,2010
Nurse Betty,2002
Tinker Bell and the Great Fairy Rescue,2010
Ginger Snaps II: Unleashed,2004
Frost/Nixon,2009
The Expendables,2010
Pater,2011
Anger Management,2003
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2006
Crossing Over,2009
The Good Shepherd,2007
Angels & Demons,2009
Around the World in 80 Days,2005
Sønner av Norge,2012
Runaway Jury,2003
El Hijo de la Novia (Son of the Bride),2002
Zui hao de shi guang (Three Times),2008
The Hobbit: An Unexpected Journey,2012
My Mom's New Boyfriend (a.k.a. Homeland Security),2009
La Doublure (The Valet),2008
Bewitched,2005
It's a Free World...,2008
Borderland,2009
Madang Amtark (Hen from the Yard),2012
The Day the Earth Stood Still (2008),2008
The Cabin in the Woods,2012
The Importance of Being Earnest,2002
1408,2008
"Big Mommas: Like Father, Like Son",2011
(Les) beau(x) gosse(s),2010
Persécution,2009
L'Enfer,2006
The Incredibles,2004
